
   9.100000000000E+005   1.000000000000E+002   1.820000000000E+002
   1.000000000000E+004   1.000000000000E+002   2.000000000000E+000
   1.100000000000E+005   1.000000000000E+002   2.200000000000E+001
   2.100000000000E+005   1.000000000000E+002   4.200000000000E+001
   3.100000000000E+005   1.000000000000E+002   6.200000000000E+001
   4.100000000000E+005   1.000000000000E+002   8.200000000000E+001
   5.100000000000E+005   1.000000000000E+002   1.020000000000E+002
   6.100000000000E+005   1.000000000000E+002   1.220000000000E+002
   7.100000000000E+005   1.000000000000E+002   1.420000000000E+002
   8.100000000000E+005   1.000000000000E+002   1.620000000000E+002
